Sticker,Low,Close,High,Open,Volume,Timestamp

AAPL,0.26,0.27,0.27,0.27,452312000,978445800

AAPL,0.26,0.29,0.3,0.26,817073600,978532200

AAPL,0.3,0.3,0.33,0.32,739396000,978618600

AAPL,0.29,0.29,0.31,0.3,412356000,978705000

AAPL,0.28,0.3,0.3,0.3,373699200,978964200

AAPL,0.3,0.31,0.32,0.3,588929600,979050600

AAPL,0.29,0.3,0.3,0.3,580781600,979137000

AAPL,0.29,0.32,0.33,0.29,803734400,979223400

AAPL,0.3,0.31,0.32,0.32,423376800,979309800

AAPL,0.3,0.31,0.33,0.31,306118400,979655400

AAPL,0.29,0.3,0.31,0.31,840873600,979741800

AAPL,0.31,0.33,0.33,0.32,1227010400,979828200

AAPL,0.33,0.35,0.35,0.35,776664000,979914600

AAPL,0.33,0.34,0.35,0.34,519327200,980173800

AAPL,0.34,0.37,0.37,0.34,879530400,980260200

AAPL,0.35,0.37,0.37,0.37,717091200,980346600

AAPL,0.35,0.36,0.37,0.37,489708800,980433000

AAPL,0.34,0.35,0.35,0.35,482820800,980519400

AAPL,0.35,0.39,0.39,0.35,855528800,980778600

AAPL,0.37,0.39,0.39,0.39,692423200,980865000

AAPL,0.38,0.39,0.4,0.38,730704800,980951400

AAPL,0.37,0.38,0.38,0.37,369695200,981037800

AAPL,0.37,0.37,0.39,0.38,427341600,981124200

AAPL,0.35,0.36,0.37,0.37,286115200,981383400

AAPL,0.36,0.38,0.38,0.36,462711200,981469800

AAPL,0.35,0.37,0.37,0.37,393887200,981556200

AAPL,0.36,0.37,0.38,0.37,604128000,981642600

AAPL,0.33,0.34,0.37,0.37,590083200,981729000

AAPL,0.34,0.35,0.36,0.34,274120000,981988200

AAPL,0.34,0.34,0.36,0.36,237070400,982074600

AAPL,0.33,0.35,0.35,0.34,309120000,982161000

AAPL,0.35,0.36,0.37,0.35,311416000,982247400

AAPL,0.33,0.34,0.35,0.34,263911200,982333800

AAPL,0.32,0.33,0.35,0.34,314893600,982679400

AAPL,0.33,0.34,0.36,0.33,390258400,982765800

AAPL,0.32,0.34,0.35,0.34,431961600,982852200

AAPL,0.33,0.34,0.34,0.33,293865600,982938600

AAPL,0.33,0.35,0.35,0.34,206438400,983197800

AAPL,0.33,0.35,0.35,0.34,348516000,983284200

